"ccode","cname","year","energy_carrier","values_TJ","shares"
"HU","Hungary",2021,"Renewables and biofuels",55467.114,0.2835
"HU","Hungary",2017,"Solid fossil fuels",5930.368,0.0304
"HU","Hungary",2018,"Solid fossil fuels",3984.96,0.0228
"HU","Hungary",2019,"Solid fossil fuels",2954.484,0.0176
"HU","Hungary",2020,"Solid fossil fuels",2359.005,0.0132
"HU","Hungary",2021,"Solid fossil fuels",1887.27,0.0096
"IE","Ireland",2017,"Electricity",2604.215,0.0359
"IE","Ireland",2018,"Electricity",2848.939,0.036
"IE","Ireland",2019,"Electricity",2757.006,0.0363
"IE","Ireland",2020,"Electricity",2957.141,0.036
"IE","Ireland",2021,"Electricity",2984.069,0.0386
"IE","Ireland",2017,"Natural gas",16251.888,0.2243
"IE","Ireland",2018,"Natural gas",18042.747,0.228
"IE","Ireland",2019,"Natural gas",17493.756,0.2301
"IE","Ireland",2020,"Natural gas",17446.473,0.2123
"IE","Ireland",2021,"Natural gas",17601.389,0.2276
"IE","Ireland",2017,"Oil and petroleum products",38185.962,0.527
"IE","Ireland",2018,"Oil and petroleum products",41747.887,0.5276
"IE","Ireland",2019,"Oil and petroleum products",40785.427,0.5364
"IE","Ireland",2020,"Oil and petroleum products",46123.007,0.5613
"IE","Ireland",2021,"Oil and petroleum products",42054.692,0.5437
"IE","Ireland",2017,"Renewables and biofuels",1557.081,0.0215
"IE","Ireland",2018,"Renewables and biofuels",1706.347,0.0216
"IE","Ireland",2019,"Renewables and biofuels",1735.917,0.0228
"IE","Ireland",2020,"Renewables and biofuels",1904.121,0.0232
"IE","Ireland",2021,"Renewables and biofuels",1976.807,0.0256
"IE","Ireland",2017,"Solid fossil fuels",13864.13,0.1913
"IE","Ireland",2018,"Solid fossil fuels",14786.917,0.1869
"IE","Ireland",2019,"Solid fossil fuels",13268.183,0.1745
"IE","Ireland",2020,"Solid fossil fuels",13735.996,0.1672
"IE","Ireland",2021,"Solid fossil fuels",12727.247,0.1646
"IT","Italy",2017,"Electricity",3888.011,0.0042
"IT","Italy",2018,"Electricity",3790.8,0.0043
"IT","Italy",2019,"Electricity",3659.206,0.0042
"IT","Italy",2020,"Electricity",3639.604,0.0043
"IT","Italy",2021,"Electricity",3568.344,0.004
"IT","Italy",2017,"Natural gas",554696.357,0.5954
"IT","Italy",2018,"Natural gas",521182.17,0.5871
"IT","Italy",2019,"Natural gas",514048.67,0.5945
"IT","Italy",2020,"Natural gas",503503.205,0.5994
"IT","Italy",2021,"Natural gas",543658.837,0.6058
"IT","Italy",2017,"Heat",33060.081,0.0355
"IT","Italy",2018,"Heat",39826.202,0.0449
"IT","Italy",2019,"Heat",32444.231,0.0375
"IT","Italy",2020,"Heat",32275.658,0.0384
"IT","Italy",2021,"Heat",26785.395,0.0298
"IT","Italy",2017,"Oil and petroleum products",66481.627,0.0714
"IT","Italy",2018,"Oil and petroleum products",69963.854,0.0788
"IT","Italy",2019,"Oil and petroleum products",62090.14,0.0718
"IT","Italy",2020,"Oil and petroleum products",57869.584,0.0689
"IT","Italy",2021,"Oil and petroleum products",58779.402,0.0655
"IT","Italy",2017,"Renewables and biofuels",273509.507,0.2936
"IT","Italy",2018,"Renewables and biofuels",252949.267,0.2849
"IT","Italy",2019,"Renewables and biofuels",252376.366,0.2919
"IT","Italy",2020,"Renewables and biofuels",242765.113,0.289
"IT","Italy",2021,"Renewables and biofuels",264609.734,0.2949
"IT","Italy",2021,"Solid fossil fuels",0,0
"LT","Lithuania",2017,"Electricity",541.44,0.0126
"LT","Lithuania",2018,"Electricity",580.32,0.013
"LT","Lithuania",2019,"Electricity",587.16,0.0138
"LT","Lithuania",2020,"Electricity",624.6,0.0151
"LT","Lithuania",2021,"Electricity",798.12,0.0172
"LT","Lithuania",2017,"Natural gas",4211.1,0.0984
"LT","Lithuania",2018,"Natural gas",4545,0.1019
"LT","Lithuania",2019,"Natural gas",4491.99,0.1056
"LT","Lithuania",2020,"Natural gas",4913.01,0.1187
"LT","Lithuania",2021,"Natural gas",6131.97,0.1324
"LT","Lithuania",2017,"Heat",16778,0.3919
"LT","Lithuania",2018,"Heat",16897,0.3789
"LT","Lithuania",2019,"Heat",15953,0.375
"LT","Lithuania",2020,"Heat",14606,0.3528
"LT","Lithuania",2021,"Heat",16995,0.3668
"LT","Lithuania",2017,"Oil and petroleum products",679.44,0.0159
"LT","Lithuania",2018,"Oil and petroleum products",794.539,0.0178
"LT","Lithuania",2019,"Oil and petroleum products",768.909,0.0181
"LT","Lithuania",2020,"Oil and petroleum products",806.826,0.0195
"LT","Lithuania",2021,"Oil and petroleum products",891.073,0.0192
"LT","Lithuania",2017,"Renewables and biofuels",18367,0.429
"LT","Lithuania",2018,"Renewables and biofuels",19609,0.4397
"LT","Lithuania",2019,"Renewables and biofuels",18931,0.445
"LT","Lithuania",2020,"Renewables and biofuels",19086,0.461
"LT","Lithuania",2021,"Renewables and biofuels",19873,0.429
"LT","Lithuania",2017,"Solid fossil fuels",2231.844,0.0521
"LT","Lithuania",2018,"Solid fossil fuels",2171.715,0.0487
"LT","Lithuania",2019,"Solid fossil fuels",1810.928,0.0426
"LT","Lithuania",2020,"Solid fossil fuels",1364.657,0.033
"LT","Lithuania",2021,"Solid fossil fuels",1637.754,0.0354
"LU","Luxembourg",2017,"Electricity",763.524,0.0427
"LU","Luxembourg",2018,"Electricity",630.756,0.0382
"LU","Luxembourg",2019,"Electricity",538.121,0.0361
"LU","Luxembourg",2020,"Electricity",1172.351,0.0696
"LU","Luxembourg",2021,"Electricity",1244.146,0.077
"LU","Luxembourg",2017,"Natural gas",9843.197,0.5503
"LU","Luxembourg",2018,"Natural gas",9024.495,0.547
"LU","Luxembourg",2019,"Natural gas",9101.994,0.6112
"LU","Luxembourg",2020,"Natural gas",9542.894,0.5664
"LU","Luxembourg",2021,"Natural gas",8787.106,0.5441
"LU","Luxembourg",2017,"Heat",0,0
"LU","Luxembourg",2018,"Heat",0,0
"LU","Luxembourg",2019,"Heat",0,0
"LU","Luxembourg",2020,"Heat",0,0
"LU","Luxembourg",2021,"Heat",0,0
"LU","Luxembourg",2017,"Oil and petroleum products",6238.699,0.3488
"LU","Luxembourg",2018,"Oil and petroleum products",5740.364,0.3479
"LU","Luxembourg",2019,"Oil and petroleum products",4470.644,0.3002
"LU","Luxembourg",2020,"Oil and petroleum products",5350.166,0.3176
"LU","Luxembourg",2021,"Oil and petroleum products",5243.636,0.3247
"LU","Luxembourg",2017,"Renewables and biofuels",1026.662,0.0574
"LU","Luxembourg",2018,"Renewables and biofuels",1093.792,0.0663
"LU","Luxembourg",2019,"Renewables and biofuels",771.732,0.0518
"LU","Luxembourg",2020,"Renewables and biofuels",771.334,0.0458
"LU","Luxembourg",2021,"Renewables and biofuels",859.159,0.0532
"LU","Luxembourg",2017,"Solid fossil fuels",15.943,9e-04
"LU","Luxembourg",2018,"Solid fossil fuels",9.943,6e-04
"LU","Luxembourg",2019,"Solid fossil fuels",10.415,7e-04
"LU","Luxembourg",2020,"Solid fossil fuels",11.14,7e-04
"LU","Luxembourg",2021,"Solid fossil fuels",14.577,9e-04
"LV","Latvia",2017,"Electricity",245.135,0.0075
"LV","Latvia",2018,"Electricity",247.147,0.0073
"LV","Latvia",2019,"Electricity",243.814,0.0075
"LV","Latvia",2020,"Electricity",260.179,0.0087
"LV","Latvia",2021,"Electricity",267.426,0.0082
"LV","Latvia",2017,"Natural gas",2430.765,0.0741
"LV","Latvia",2018,"Natural gas",2601.807,0.0767
"LV","Latvia",2019,"Natural gas",2417.335,0.0741
"LV","Latvia",2020,"Natural gas",2391.986,0.08
"LV","Latvia",2021,"Natural gas",2520.084,0.0777
"LV","Latvia",2017,"Heat",11349.628,0.3461
"LV","Latvia",2018,"Heat",11305.717,0.3332
"LV","Latvia",2019,"Heat",11193.167,0.3429
"LV","Latvia",2020,"Heat",10571.186,0.3535
"LV","Latvia",2021,"Heat",12679.918,0.3909
"LV","Latvia",2017,"Oil and petroleum products",965.33,0.0294
"LV","Latvia",2018,"Oil and petroleum products",1014.619,0.0299
"LV","Latvia",2019,"Oil and petroleum products",1009.01,0.0309
"LV","Latvia",2020,"Oil and petroleum products",999.025,0.0334
"LV","Latvia",2021,"Oil and petroleum products",982.921,0.0303
"LV","Latvia",2017,"Renewables and biofuels",17449.345,0.532
"LV","Latvia",2018,"Renewables and biofuels",18516.953,0.5458
"LV","Latvia",2019,"Renewables and biofuels",17608.98,0.5395
"LV","Latvia",2020,"Renewables and biofuels",15637.82,0.5229
"LV","Latvia",2021,"Renewables and biofuels",15942.263,0.4915
"LV","Latvia",2017,"Solid fossil fuels",356.828,0.0109
"LV","Latvia",2018,"Solid fossil fuels",240.287,0.0071
"LV","Latvia",2019,"Solid fossil fuels",169.667,0.0052
"LV","Latvia",2020,"Solid fossil fuels",47.866,0.0016
"LV","Latvia",2021,"Solid fossil fuels",45.972,0.0014
"MD","Moldova",2017,"Electricity",183.132,0.0047
"MD","Moldova",2018,"Electricity",183.805,0.0046
"MD","Moldova",2019,"Electricity",187.052,0.0053
"MD","Moldova",2020,"Electricity",193.655,0.0054
"MD","Moldova",2021,"Electricity",204.289,0.0055
"MD","Moldova",2017,"Natural gas",5476.471,0.1407
"MD","Moldova",2018,"Natural gas",6275.254,0.1573
"MD","Moldova",2019,"Natural gas",6308.188,0.1783
"MD","Moldova",2020,"Natural gas",7011.305,0.1965
"MD","Moldova",2021,"Natural gas",8365.262,0.226
"MD","Moldova",2017,"Heat",4204.1,0.108
"MD","Moldova",2018,"Heat",4465.657,0.1119
"MD","Moldova",2019,"Heat",3968.698,0.1122
"MD","Moldova",2020,"Heat",3985.263,0.1117
"MD","Moldova",2021,"Heat",4456.938,0.1204
"MD","Moldova",2017,"Oil and petroleum products",0,0
"MD","Moldova",2018,"Oil and petroleum products",0,0
"MD","Moldova",2019,"Oil and petroleum products",0,0
"MD","Moldova",2020,"Oil and petroleum products",0,0
"MD","Moldova",2021,"Oil and petroleum products",0,0
"MD","Moldova",2017,"Renewables and biofuels",27100.94,0.6962
"MD","Moldova",2018,"Renewables and biofuels",27694.021,0.6942
"MD","Moldova",2019,"Renewables and biofuels",22868.881,0.6464
"MD","Moldova",2020,"Renewables and biofuels",22992.86,0.6444
"MD","Moldova",2021,"Renewables and biofuels",22398.136,0.6052
"MD","Moldova",2017,"Solid fossil fuels",1959.6,0.0503
"MD","Moldova",2018,"Solid fossil fuels",1276.236,0.032
"MD","Moldova",2019,"Solid fossil fuels",2047.755,0.0579
"MD","Moldova",2020,"Solid fossil fuels",1497.24,0.042
"MD","Moldova",2021,"Solid fossil fuels",1585.316,0.0428
"MK","North Macedonia",2017,"Electricity",3549.035,0.2769
"MK","North Macedonia",2018,"Electricity",3250.624,0.2656
"MK","North Macedonia",2019,"Electricity",5112.72,0.3573
"MK","North Macedonia",2020,"Electricity",5587.92,0.3741
"MK","North Macedonia",2021,"Electricity",5845.854,0.3778
"MK","North Macedonia",2017,"Natural gas",6.3,5e-04
"MK","North Macedonia",2018,"Natural gas",8.1,7e-04
"MK","North Macedonia",2019,"Natural gas",7.56,5e-04
"MK","North Macedonia",2020,"Natural gas",7.485,5e-04
"MK","North Macedonia",2021,"Natural gas",7.486,5e-04
"MK","North Macedonia",2017,"Heat",1468.641,0.1146
"MK","North Macedonia",2018,"Heat",1417.547,0.1158
"MK","North Macedonia",2019,"Heat",1319,0.0922
"MK","North Macedonia",2020,"Heat",1523.3,0.102
"MK","North Macedonia",2021,"Heat",1728.152,0.1117
"MK","North Macedonia",2017,"Oil and petroleum products",220.96,0.0172
"MK","North Macedonia",2018,"Oil and petroleum products",203.153,0.0166
"MK","North Macedonia",2019,"Oil and petroleum products",186.718,0.013
"MK","North Macedonia",2020,"Oil and petroleum products",177.835,0.0119
"MK","North Macedonia",2021,"Oil and petroleum products",182.538,0.0118
"MK","North Macedonia",2017,"Renewables and biofuels",7532.025,0.5876
"MK","North Macedonia",2018,"Renewables and biofuels",7326.301,0.5986
"MK","North Macedonia",2019,"Renewables and biofuels",7663.316,0.5355
"MK","North Macedonia",2020,"Renewables and biofuels",7614.376,0.5098
"MK","North Macedonia",2021,"Renewables and biofuels",7686.585,0.4967
"MK","North Macedonia",2017,"Solid fossil fuels",40.777,0.0032
"MK","North Macedonia",2018,"Solid fossil fuels",33.127,0.0027
"MK","North Macedonia",2019,"Solid fossil fuels",20.401,0.0014
"MK","North Macedonia",2020,"Solid fossil fuels",26.537,0.0018
"MK","North Macedonia",2021,"Solid fossil fuels",23.441,0.0015
"MT","Malta",2017,"Electricity",292.234,0.3646
"MT","Malta",2018,"Electricity",251.752,0.345
"MT","Malta",2019,"Electricity",262.303,0.3018
"MT","Malta",2020,"Electricity",317.776,0.3394
"MT","Malta",2021,"Electricity",472.824,0.4226
"MT","Malta",2018,"Natural gas",0,0
"MT","Malta",2019,"Natural gas",0,0
"MT","Malta",2020,"Natural gas",0,0
"MT","Malta",2021,"Natural gas",0,0
"MT","Malta",2018,"Heat",0,0
"MT","Malta",2019,"Heat",0,0
"MT","Malta",2020,"Heat",0,0
"MT","Malta",2021,"Heat",0,0
"MT","Malta",2017,"Oil and petroleum products",211.301,0.2636
"MT","Malta",2018,"Oil and petroleum products",156.511,0.2145
"MT","Malta",2019,"Oil and petroleum products",196.054,0.2256
"MT","Malta",2020,"Oil and petroleum products",179.41,0.1916
"MT","Malta",2021,"Oil and petroleum products",172.559,0.1542
"MT","Malta",2017,"Renewables and biofuels",297.996,0.3718
"MT","Malta",2018,"Renewables and biofuels",321.499,0.4406
"MT","Malta",2019,"Renewables and biofuels",410.734,0.4726
"MT","Malta",2020,"Renewables and biofuels",439.097,0.469
"MT","Malta",2021,"Renewables and biofuels",473.427,0.4232
"MT","Malta",2018,"Solid fossil fuels",0,0
"MT","Malta",2019,"Solid fossil fuels",0,0
"MT","Malta",2020,"Solid fossil fuels",0,0
"MT","Malta",2021,"Solid fossil fuels",0,0
"NL","Netherlands",2017,"Electricity",4938.698,0.0193
"NL","Netherlands",2018,"Electricity",5437.449,0.0212
"NL","Netherlands",2019,"Electricity",6134.68,0.0248
"NL","Netherlands",2020,"Electricity",6993.428,0.0295
"NL","Netherlands",2021,"Electricity",8124.078,0.0291
"NL","Netherlands",2017,"Natural gas",222430.988,0.8686
"NL","Netherlands",2018,"Natural gas",220616.566,0.8618
"NL","Netherlands",2019,"Natural gas",210870.724,0.8526
"NL","Netherlands",2020,"Natural gas",199155.212,0.8395
"NL","Netherlands",2021,"Natural gas",236211.37,0.8465
"NL","Netherlands",2017,"Heat",8397.884,0.0328
"NL","Netherlands",2018,"Heat",8859.476,0.0346
"NL","Netherlands",2019,"Heat",8229.788,0.0333
"NL","Netherlands",2020,"Heat",7584.389,0.032
"NL","Netherlands",2021,"Heat",8910.219,0.0319
"NL","Netherlands",2017,"Oil and petroleum products",1520.628,0.0059
"NL","Netherlands",2018,"Oil and petroleum products",1515.415,0.0059
"NL","Netherlands",2019,"Oil and petroleum products",1508.797,0.0061
"NL","Netherlands",2020,"Oil and petroleum products",1503.634,0.0063
"NL","Netherlands",2021,"Oil and petroleum products",1499.012,0.0054
"NL","Netherlands",2017,"Renewables and biofuels",18747.739,0.0732
"NL","Netherlands",2018,"Renewables and biofuels",19514.341,0.0762
"NL","Netherlands",2019,"Renewables and biofuels",20528.665,0.083
"NL","Netherlands",2020,"Renewables and biofuels",21982.126,0.0927
"NL","Netherlands",2021,"Renewables and biofuels",24271.339,0.087
"NL","Netherlands",2017,"Solid fossil fuels",47.159,2e-04
"NL","Netherlands",2018,"Solid fossil fuels",42.39,2e-04
"NL","Netherlands",2019,"Solid fossil fuels",46.92,2e-04
"NL","Netherlands",2020,"Solid fossil fuels",14.439,1e-04
"NL","Netherlands",2021,"Solid fossil fuels",15.847,1e-04
"NO","Norway",2017,"Electricity",80924.4,0.6356
"NO","Norway",2018,"Electricity",81385.2,0.637
"NO","Norway",2019,"Electricity",80308.145,0.6377
"NO","Norway",2020,"Electricity",79411.457,0.6317
"NO","Norway",2021,"Electricity",80472.456,0.6144
"NO","Norway",2017,"Natural gas",134.717,0.0011
"NO","Norway",2018,"Natural gas",134.334,0.0011
"NO","Norway",2019,"Natural gas",64.808,5e-04
"NO","Norway",2020,"Natural gas",65.519,5e-04
"NO","Norway",2021,"Natural gas",64.205,5e-04
"NO","Norway",2017,"Heat",3932.614,0.0309
"NO","Norway",2018,"Heat",4055.443,0.0317
"NO","Norway",2019,"Heat",4459.383,0.0354
"NO","Norway",2020,"Heat",4223.67,0.0336
"NO","Norway",2021,"Heat",4940.738,0.0377
"NO","Norway",2017,"Oil and petroleum products",3023.344,0.0237
"NO","Norway",2018,"Oil and petroleum products",2179.034,0.0171
"NO","Norway",2019,"Oil and petroleum products",591.162,0.0047
"NO","Norway",2020,"Oil and petroleum products",222.105,0.0018
"NO","Norway",2021,"Oil and petroleum products",211.747,0.0016
"NO","Norway",2017,"Renewables and biofuels",39308.739,0.3087
"NO","Norway",2018,"Renewables and biofuels",40000.364,0.3131
"NO","Norway",2019,"Renewables and biofuels",40512.461,0.3217
"NO","Norway",2020,"Renewables and biofuels",41790.941,0.3324
"NO","Norway",2021,"Renewables and biofuels",45291.479,0.3458
"PL","Poland",2017,"Electricity",4698,0.0085
"PL","Poland",2018,"Electricity",4698,0.0073
"PL","Poland",2019,"Electricity",4698.043,0.0081
"PL","Poland",2020,"Electricity",4903.373,0.0084
"PL","Poland",2021,"Electricity",5000.4,0.0083
"PL","Poland",2017,"Natural gas",82539.79,0.1488
"PL","Poland",2018,"Natural gas",79678.82,0.1233
"PL","Poland",2019,"Natural gas",81408.454,0.1396
"PL","Poland",2020,"Natural gas",86039.192,0.1474
"PL","Poland",2021,"Natural gas",102267.878,0.1688
"PL","Poland",2017,"Heat",114250,0.2059
"PL","Poland",2018,"Heat",107250,0.166
"PL","Poland",2019,"Heat",102250,0.1753
"PL","Poland",2020,"Heat",102584,0.1757
"PL","Poland",2021,"Heat",114529,0.189
"PL","Poland",2017,"Oil and petroleum products",3695.058,0.0067
"PL","Poland",2018,"Oil and petroleum products",4102.74,0.0064
"PL","Poland",2019,"Oil and petroleum products",3562.416,0.0061
"PL","Poland",2020,"Oil and petroleum products",3560.7,0.0061
"PL","Poland",2021,"Oil and petroleum products",4776.135,0.0079
"PL","Poland",2017,"Renewables and biofuels",103348.279,0.1863
"PL","Poland",2018,"Renewables and biofuels",218868.815,0.3388
"PL","Poland",2019,"Renewables and biofuels",203988.645,0.3498
"PL","Poland",2020,"Renewables and biofuels",190999.598,0.3272
"PL","Poland",2021,"Renewables and biofuels",196491.614,0.3243
"PL","Poland",2017,"Solid fossil fuels",246350.94,0.444
"PL","Poland",2018,"Solid fossil fuels",231362.325,0.3582
"PL","Poland",2019,"Solid fossil fuels",187222.5,0.3211
"PL","Poland",2020,"Solid fossil fuels",195652.463,0.3352
"PL","Poland",2021,"Solid fossil fuels",182771.112,0.3017
"PT","Portugal",2017,"Electricity",1858.284,0.0511
"PT","Portugal",2018,"Electricity",1950.239,0.0525
"PT","Portugal",2019,"Electricity",1951.715,0.0524
"PT","Portugal",2020,"Electricity",2015.626,0.0524
"PT","Portugal",2021,"Electricity",2107.433,0.0541
"PT","Portugal",2017,"Natural gas",587.866,0.0162
"PT","Portugal",2018,"Natural gas",640.282,0.0172
"PT","Portugal",2019,"Natural gas",666.439,0.0179
"PT","Portugal",2020,"Natural gas",688.01,0.0179
"PT","Portugal",2021,"Natural gas",672.336,0.0173
"PT","Portugal",2017,"Heat",36,0.001
"PT","Portugal",2018,"Heat",44.17,0.0012
"PT","Portugal",2019,"Heat",36,0.001
"PT","Portugal",2020,"Heat",36,9e-04
"PT","Portugal",2021,"Heat",36,9e-04
"PT","Portugal",2017,"Oil and petroleum products",2154.468,0.0592
"PT","Portugal",2018,"Oil and petroleum products",2349.463,0.0632
"PT","Portugal",2019,"Oil and petroleum products",2126.59,0.0571
"PT","Portugal",2020,"Oil and petroleum products",2349.829,0.0611
"PT","Portugal",2021,"Oil and petroleum products",2139.65,0.0549
"PT","Portugal",2017,"Renewables and biofuels",31726.378,0.8725
"PT","Portugal",2018,"Renewables and biofuels",32168.352,0.8658
"PT","Portugal",2019,"Renewables and biofuels",32469.24,0.8717
"PT","Portugal",2020,"Renewables and biofuels",33357.352,0.8676
"PT","Portugal",2021,"Renewables and biofuels",33983.417,0.8727
"PT","Portugal",2021,"Solid fossil fuels",0,0
"RO","Romania",2017,"Electricity",390.236,0.0019
"RO","Romania",2018,"Electricity",395.91,0.0019
"RO","Romania",2019,"Electricity",402.242,0.002
"RO","Romania",2020,"Electricity",421.931,0.002
"RO","Romania",2021,"Electricity",441.275,0.0019
"RO","Romania",2017,"Natural gas",59342.111,0.2909
"RO","Romania",2018,"Natural gas",61611.286,0.3015
"RO","Romania",2019,"Natural gas",61390.49,0.3043
"RO","Romania",2020,"Natural gas",66628.211,0.3205
"RO","Romania",2021,"Natural gas",78575.905,0.3453
"RO","Romania",2017,"Heat",33847.594,0.1659
"RO","Romania",2018,"Heat",32731.352,0.1602
"RO","Romania",2019,"Heat",29485.088,0.1462
"RO","Romania",2020,"Heat",29792.621,0.1433
"RO","Romania",2021,"Heat",30431.566,0.1337
"RO","Romania",2017,"Oil and petroleum products",16.319,1e-04
"RO","Romania",2018,"Oil and petroleum products",17.186,1e-04
"RO","Romania",2019,"Oil and petroleum products",18.726,1e-04
"RO","Romania",2020,"Oil and petroleum products",16.175,1e-04
"RO","Romania",2021,"Oil and petroleum products",14.691,1e-04
"RO","Romania",2017,"Renewables and biofuels",109378.671,0.5363
"RO","Romania",2018,"Renewables and biofuels",108595.968,0.5315
"RO","Romania",2019,"Renewables and biofuels",109256.558,0.5416
"RO","Romania",2020,"Renewables and biofuels",109747.638,0.5279
"RO","Romania",2021,"Renewables and biofuels",116743.889,0.5131
"RO","Romania",2017,"Solid fossil fuels",988.366,0.0048
"RO","Romania",2018,"Solid fossil fuels",970.262,0.0047
"RO","Romania",2019,"Solid fossil fuels",1174.066,0.0058
"RO","Romania",2020,"Solid fossil fuels",1295.262,0.0062
"RO","Romania",2021,"Solid fossil fuels",1340.429,0.0059
"RS","Serbia",2017,"Electricity",6067.552,0.0835
"RS","Serbia",2018,"Electricity",5891.677,0.0802
"RS","Serbia",2019,"Electricity",5859,0.0797
"RS","Serbia",2020,"Electricity",6025.003,0.0618
"RS","Serbia",2021,"Electricity",6094.616,0.062
"RS","Serbia",2017,"Natural gas",7433.346,0.1023
"RS","Serbia",2018,"Natural gas",7556.321,0.1029
"RS","Serbia",2019,"Natural gas",7902.669,0.1075
"RS","Serbia",2020,"Natural gas",9383.6,0.0963
"RS","Serbia",2021,"Natural gas",11510.582,0.1171
"RS","Serbia",2017,"Heat",16101.783,0.2216
"RS","Serbia",2018,"Heat",16492.316,0.2245
"RS","Serbia",2019,"Heat",15351.957,0.2088
"RS","Serbia",2020,"Heat",17792.844,0.1826
"RS","Serbia",2021,"Heat",18744.436,0.1908
"RS","Serbia",2017,"Oil and petroleum products",1543.947,0.0213
"RS","Serbia",2018,"Oil and petroleum products",1222.138,0.0166
"RS","Serbia",2019,"Oil and petroleum products",1534.816,0.0209
"RS","Serbia",2020,"Oil and petroleum products",845.069,0.0087
"RS","Serbia",2021,"Oil and petroleum products",992.443,0.0101
"RS","Serbia",2017,"Renewables and biofuels",30983.459,0.4265
"RS","Serbia",2018,"Renewables and biofuels",32427.483,0.4414
"RS","Serbia",2019,"Renewables and biofuels",33593.609,0.4569
"RS","Serbia",2020,"Renewables and biofuels",52290.103,0.5367
"RS","Serbia",2021,"Renewables and biofuels",55069.236,0.5604
"RS","Serbia",2017,"Solid fossil fuels",10517.088,0.1448
"RS","Serbia",2018,"Solid fossil fuels",9868.133,0.1343
"RS","Serbia",2019,"Solid fossil fuels",9284.976,0.1263
"RS","Serbia",2020,"Solid fossil fuels",11099.345,0.1139
"RS","Serbia",2021,"Solid fossil fuels",5854.266,0.0596
"SE","Sweden",2017,"Electricity",49730.4,0.2808
"SE","Sweden",2018,"Electricity",50371.2,0.2931
"SE","Sweden",2019,"Electricity",50018.4,0.293
"SE","Sweden",2020,"Electricity",47991.6,0.2867
"SE","Sweden",2021,"Electricity",52614,0.296
"SE","Sweden",2017,"Natural gas",1150.2,0.0065
"SE","Sweden",2018,"Natural gas",1035,0.006
"SE","Sweden",2019,"Natural gas",606.6,0.0036
"SE","Sweden",2020,"Natural gas",576.9,0.0034
"SE","Sweden",2021,"Natural gas",873,0.0049
"SE","Sweden",2017,"Heat",84925,0.4796
"SE","Sweden",2018,"Heat",83663,0.4869
"SE","Sweden",2019,"Heat",83408,0.4886
"SE","Sweden",2020,"Heat",78137,0.4668
"SE","Sweden",2021,"Heat",89211,0.5019
"SE","Sweden",2017,"Oil and petroleum products",7462.497,0.0421
"SE","Sweden",2018,"Oil and petroleum products",6914.404,0.0402
"SE","Sweden",2019,"Oil and petroleum products",6971.415,0.0408
"SE","Sweden",2020,"Oil and petroleum products",7689.682,0.0459
"SE","Sweden",2021,"Oil and petroleum products",1732.291,0.0097
"SE","Sweden",2017,"Renewables and biofuels",33820,0.191
"SE","Sweden",2018,"Renewables and biofuels",29848,0.1737
"SE","Sweden",2019,"Renewables and biofuels",29696,0.174
"SE","Sweden",2020,"Renewables and biofuels",33010,0.1972
"SE","Sweden",2021,"Renewables and biofuels",33316,0.1874
"SE","Sweden",2021,"Solid fossil fuels",0,0
"SI","Slovenia",2017,"Electricity",1461.294,0.0462
"SI","Slovenia",2018,"Electricity",1542.852,0.0538
"SI","Slovenia",2019,"Electricity",1773.94,0.0641
"SI","Slovenia",2020,"Electricity",2164.72,0.0759
"SI","Slovenia",2021,"Electricity",2352.488,0.0755
"SI","Slovenia",2017,"Natural gas",3778.73,0.1194
"SI","Slovenia",2018,"Natural gas",3409.619,0.1188
"SI","Slovenia",2019,"Natural gas",3180.558,0.1149
"SI","Slovenia",2020,"Natural gas",3155.214,0.1106
"SI","Slovenia",2021,"Natural gas",3485.555,0.1118
"SI","Slovenia",2017,"Heat",2801.091,0.0885
"SI","Slovenia",2018,"Heat",2615.114,0.0911
"SI","Slovenia",2019,"Heat",2538.546,0.0917
"SI","Slovenia",2020,"Heat",2573.405,0.0902
"SI","Slovenia",2021,"Heat",2879.913,0.0924
"SI","Slovenia",2017,"Oil and petroleum products",4448.275,0.1405
"SI","Slovenia",2018,"Oil and petroleum products",4070.361,0.1419
"SI","Slovenia",2019,"Oil and petroleum products",4096.946,0.148
"SI","Slovenia",2020,"Oil and petroleum products",4283.343,0.1502
"SI","Slovenia",2021,"Oil and petroleum products",3782.318,0.1213
"SI","Slovenia",2017,"Renewables and biofuels",19169.641,0.6055
"SI","Slovenia",2018,"Renewables and biofuels",17054.21,0.5944
"SI","Slovenia",2019,"Renewables and biofuels",16097.106,0.5814
"SI","Slovenia",2020,"Renewables and biofuels",16348.068,0.5731
"SI","Slovenia",2021,"Renewables and biofuels",18668.615,0.5989
"SI","Slovenia",2017,"Solid fossil fuels",0.272,0
"SI","Slovenia",2018,"Solid fossil fuels",0.144,0
"SI","Slovenia",2019,"Solid fossil fuels",0.08,0
"SI","Slovenia",2020,"Solid fossil fuels",0.048,0
"SI","Slovenia",2021,"Solid fossil fuels",0.032,0
"SK","Slovakia",2017,"Electricity",3403.08,0.0566
"SK","Slovakia",2018,"Electricity",3297.6,0.0572
"SK","Slovakia",2019,"Electricity",4438.8,0.0551
"SK","Slovakia",2020,"Electricity",5902.2,0.0703
"SK","Slovakia",2021,"Electricity",6517.44,0.0704
"SK","Slovakia",2017,"Natural gas",38765.943,0.6445
"SK","Slovakia",2018,"Natural gas",37670.13,0.6537
"SK","Slovakia",2019,"Natural gas",37862.37,0.47
